REF_DATE,GEO,Client groups,VALUE,STATUS
2001-10,Ontario,Leisure clients,90.2,NA
2001-10,Ontario,Business clients,84.3,NA
2001-10,Prairie Region,"Total, all client groups",64.6,NA
2001-10,Prairie Region,Leisure clients,66,NA
2001-10,Prairie Region,Business clients,61.9,NA
2001-10,Manitoba,"Total, all client groups",68.4,NA
2001-10,Manitoba,Leisure clients,67,NA
2001-10,Manitoba,Business clients,69.3,NA
2001-10,Saskatchewan,"Total, all client groups",58.8,NA
2001-10,Saskatchewan,Leisure clients,60.3,NA
2001-10,Saskatchewan,Business clients,57.8,NA
2001-10,Alberta,"Total, all client groups",65.3,NA
2001-10,Alberta,Leisure clients,67.6,NA
2001-10,Alberta,Business clients,61.9,NA
2001-10,British Columbia Region,"Total, all client groups",71.8,NA
2001-10,British Columbia Region,Leisure clients,70.6,NA
2001-10,British Columbia Region,Business clients,71.6,NA
2001-10,British Columbia,"Total, all client groups",71.8,NA
2001-10,British Columbia,Leisure clients,70.6,NA
2001-10,British Columbia,Business clients,71.6,NA
2001-10,Territories,"Total, all client groups",73.7,NA
2001-10,Territories,Leisure clients,75,NA
2001-10,Territories,Business clients,73,NA
2001-10,Yukon,"Total, all client groups",74,NA
2001-10,Yukon,Leisure clients,73.7,NA
2001-10,Yukon,Business clients,74.1,NA
2001-10,Northwest Territories,"Total, all client groups",79.4,NA
2001-10,Northwest Territories,Leisure clients,87.7,NA
2001-10,Northwest Territories,Business clients,76.9,NA
2001-10,Nunavut,"Total, all client groups",67.4,NA
2001-10,Nunavut,Leisure clients,67.1,NA
2001-10,Nunavut,Business clients,67.6,NA
2002-01,Canada,"Total, all client groups",77.3,NA
2002-01,Canada,Leisure clients,78.2,NA
2002-01,Canada,Business clients,75.2,NA
2002-01,Atlantic Region,"Total, all client groups",69.6,NA
2002-01,Atlantic Region,Leisure clients,70.9,NA
2002-01,Atlantic Region,Business clients,68.4,NA
2002-01,Newfoundland and Labrador,"Total, all client groups",66.3,NA
2002-01,Newfoundland and Labrador,Leisure clients,68,NA
2002-01,Newfoundland and Labrador,Business clients,65.3,NA
2002-01,Prince Edward Island,"Total, all client groups",67.6,NA
2002-01,Prince Edward Island,Leisure clients,64.9,NA
2002-01,Prince Edward Island,Business clients,71.6,NA
2002-01,Nova Scotia,"Total, all client groups",70.3,NA
2002-01,Nova Scotia,Leisure clients,72.5,NA
2002-01,Nova Scotia,Business clients,68.4,NA
2002-01,New Brunswick,"Total, all client groups",71.9,NA
2002-01,New Brunswick,Leisure clients,73.9,NA
2002-01,New Brunswick,Business clients,70.6,NA
2002-01,Quebec Region,"Total, all client groups",82.9,NA
2002-01,Quebec Region,Leisure clients,81.9,NA
2002-01,Quebec Region,Business clients,83.6,NA
2002-01,Quebec,"Total, all client groups",82.9,NA
2002-01,Quebec,Leisure clients,81.9,NA
2002-01,Quebec,Business clients,83.6,NA
2002-01,Ontario Region,"Total, all client groups",86,NA
2002-01,Ontario Region,Leisure clients,89.5,NA
2002-01,Ontario Region,Business clients,83.5,NA
2002-01,Ontario,"Total, all client groups",86,NA
2002-01,Ontario,Leisure clients,89.5,NA
2002-01,Ontario,Business clients,83.5,NA
2002-01,Prairie Region,"Total, all client groups",67,NA
2002-01,Prairie Region,Leisure clients,68.6,NA
2002-01,Prairie Region,Business clients,63.7,NA
2002-01,Manitoba,"Total, all client groups",69.6,NA
2002-01,Manitoba,Leisure clients,68,NA
2002-01,Manitoba,Business clients,70.7,NA
2002-01,Saskatchewan,"Total, all client groups",60,NA
2002-01,Saskatchewan,Leisure clients,61.5,NA
2002-01,Saskatchewan,Business clients,58.9,NA
2002-01,Alberta,"Total, all client groups",68.2,NA
2002-01,Alberta,Leisure clients,71.1,NA
2002-01,Alberta,Business clients,64,NA
2002-01,British Columbia Region,"Total, all client groups",73.1,NA
2002-01,British Columbia Region,Leisure clients,71.7,NA
2002-01,British Columbia Region,Business clients,73,NA
2002-01,British Columbia,"Total, all client groups",73.1,NA
2002-01,British Columbia,Leisure clients,71.7,NA
2002-01,British Columbia,Business clients,73,NA
2002-01,Territories,"Total, all client groups",72,NA
2002-01,Territories,Leisure clients,70.1,NA
2002-01,Territories,Business clients,73,NA
2002-01,Yukon,"Total, all client groups",69.9,NA
2002-01,Yukon,Leisure clients,68,NA
2002-01,Yukon,Business clients,71.6,NA
2002-01,Northwest Territories,"Total, all client groups",77.5,NA
2002-01,Northwest Territories,Leisure clients,80.3,NA
2002-01,Northwest Territories,Business clients,76.6,NA
2002-01,Nunavut,"Total, all client groups",71.1,NA
2002-01,Nunavut,Leisure clients,71,NA
2002-01,Nunavut,Business clients,71.3,NA
2002-04,Canada,"Total, all client groups",85.1,NA
2002-04,Canada,Leisure clients,86.1,NA
2002-04,Canada,Business clients,81.7,NA
2002-04,Atlantic Region,"Total, all client groups",78.8,NA
2002-04,Atlantic Region,Leisure clients,81.2,NA
2002-04,Atlantic Region,Business clients,76.7,NA
2002-04,Newfoundland and Labrador,"Total, all client groups",74.7,NA
2002-04,Newfoundland and Labrador,Leisure clients,75.5,NA
2002-04,Newfoundland and Labrador,Business clients,74.1,NA
2002-04,Prince Edward Island,"Total, all client groups",82.1,NA
2002-04,Prince Edward Island,Leisure clients,80.7,NA
2002-04,Prince Edward Island,Business clients,83.8,NA
2002-04,Nova Scotia,"Total, all client groups",84.7,NA
2002-04,Nova Scotia,Leisure clients,89.2,NA
2002-04,Nova Scotia,Business clients,81.4,NA
2002-04,New Brunswick,"Total, all client groups",75.5,NA
2002-04,New Brunswick,Leisure clients,77.9,NA
2002-04,New Brunswick,Business clients,73.9,NA
2002-04,Quebec Region,"Total, all client groups",86.1,NA
2002-04,Quebec Region,Leisure clients,82.3,NA
2002-04,Quebec Region,Business clients,87.5,NA
2002-04,Quebec,"Total, all client groups",86.1,NA
2002-04,Quebec,Leisure clients,82.3,NA
2002-04,Quebec,Business clients,87.5,NA
2002-04,Ontario Region,"Total, all client groups",94,NA
2002-04,Ontario Region,Leisure clients,99.3,NA
2002-04,Ontario Region,Business clients,90.3,NA
2002-04,Ontario,"Total, all client groups",94,NA
2002-04,Ontario,Leisure clients,99.3,NA
2002-04,Ontario,Business clients,90.3,NA
2002-04,Prairie Region,"Total, all client groups",72.5,NA
2002-04,Prairie Region,Leisure clients,73.4,NA
2002-04,Prairie Region,Business clients,67.5,NA
2002-04,Manitoba,"Total, all client groups",73.3,NA
2002-04,Manitoba,Leisure clients,70.8,NA
2002-04,Manitoba,Business clients,75.1,NA
