REF_DATE,GEO,North American Product Classification System (NAPCS),VALUE,STATUS,Classification Code for North American Product Classification System (NAPCS)
1981-05,Canada,Fresh potatoes [11421],54.8,NA,[11421]
1981-05,Canada,Fresh vegetables (except potatoes and pulse crops) [11422],61.9,NA,[11422]
1981-05,Canada,Animals and animal products [M21],52.8,NA,[M21]
1981-05,Canada,Cattle and calves [11111],58.6,NA,[11111]
1981-05,Canada,Hogs [11112],81.9,NA,[11112]
1981-05,Canada,Poultry [11113],65.2,NA,[11113]
1981-05,Canada,Eggs in shell [11611],48.2,NA,[11611]
1981-05,Canada,Unprocessed milk [11612],34.9,NA,[11612]
1981-05,Canada,"Fish, crustaceans, shellfish and other fishery products [121]",42.5,NA,[121]
1981-05,Canada,"Fish, crustaceans, shellfish and other fishery products [12111]",42.5,NA,[12111]
1981-05,Canada,Non-metallic minerals [M31],36.8,NA,[M31]
1981-05,Canada,Stone [16211],31.8,NA,[16211]
1981-05,Canada,Logs and bolts [13111],36.6,NA,[13111]
1981-05,Canada,Pulpwood [13112],98.5,NA,[13112]
1981-05,Canada,Natural rubber [282M],61.2,NA,[282M]
1981-05,Canada,Iron ores and concentrates [151],44.6,NA,[151]
1981-05,Canada,Copper ores and concentrates [152],32.7,NA,[152]
1981-05,Canada,Nickel ores and concentrates [153],45.2,NA,[153]
1981-05,Canada,Radioactive ores and concentrates [154],70.5,NA,[154]
1981-05,Canada,"Gold, silver, and platinum group metal ores and concentrates [15511]",32,NA,[15511]
1981-05,Canada,Waste and scrap of iron and steel [15611],70.1,NA,[15611]
1981-05,Canada,Waste and scrap of non-ferrous metals [15612],28.5,NA,[15612]
1981-06,Canada,"Total, Raw materials price indexes (RMPI)",42.9,NA,NA
1981-06,Canada,Crude energy products [M51],36.7,NA,[M51]
1981-06,Canada,Conventional crude oil [14111],38.1,NA,[14111]
1981-06,Canada,Natural gas [142],84.9,NA,[142]
1981-06,Canada,Hard coal [14411],65.3,NA,[14411]
1981-06,Canada,"Total, excluding crude energy products",46.9,NA,NA
1981-06,Canada,Crop products [M11],57.5,NA,[M11]
1981-06,Canada,Wheat [112],67.2,NA,[112]
1981-06,Canada,Canola (including rapeseed) [113],61.1,NA,[113]
1981-06,Canada,Fresh potatoes [11421],61,NA,[11421]
1981-06,Canada,Fresh vegetables (except potatoes and pulse crops) [11422],67.4,NA,[11422]
1981-06,Canada,Animals and animal products [M21],54.7,NA,[M21]
1981-06,Canada,Cattle and calves [11111],59.7,NA,[11111]
1981-06,Canada,Hogs [11112],98.2,NA,[11112]
1981-06,Canada,Poultry [11113],65.4,NA,[11113]
1981-06,Canada,Eggs in shell [11611],48.5,NA,[11611]
1981-06,Canada,Unprocessed milk [11612],34.9,NA,[11612]
1981-06,Canada,"Fish, crustaceans, shellfish and other fishery products [121]",42.3,NA,[121]
1981-06,Canada,"Fish, crustaceans, shellfish and other fishery products [12111]",42.3,NA,[12111]
1981-06,Canada,Non-metallic minerals [M31],36.9,NA,[M31]
1981-06,Canada,Stone [16211],32.1,NA,[16211]
1981-06,Canada,Logs and bolts [13111],36.6,NA,[13111]
1981-06,Canada,Pulpwood [13112],99.9,NA,[13112]
1981-06,Canada,Natural rubber [282M],61.7,NA,[282M]
1981-06,Canada,Iron ores and concentrates [151],44.6,NA,[151]
1981-06,Canada,Copper ores and concentrates [152],32.4,NA,[152]
1981-06,Canada,Nickel ores and concentrates [153],45.3,NA,[153]
1981-06,Canada,Radioactive ores and concentrates [154],70.5,NA,[154]
1981-06,Canada,"Gold, silver, and platinum group metal ores and concentrates [15511]",31,NA,[15511]
1981-06,Canada,Waste and scrap of iron and steel [15611],67.3,NA,[15611]
1981-06,Canada,Waste and scrap of non-ferrous metals [15612],28.1,NA,[15612]
1981-07,Canada,"Total, Raw materials price indexes (RMPI)",43.6,NA,NA
1981-07,Canada,Crude energy products [M51],38.2,NA,[M51]
1981-07,Canada,Conventional crude oil [14111],39.5,NA,[14111]
1981-07,Canada,Natural gas [142],89.3,NA,[142]
1981-07,Canada,Hard coal [14411],67.9,NA,[14411]
1981-07,Canada,"Total, excluding crude energy products",46.9,NA,NA
1981-07,Canada,Crop products [M11],57.2,NA,[M11]
1981-07,Canada,Wheat [112],67.2,NA,[112]
1981-07,Canada,Canola (including rapeseed) [113],61.4,NA,[113]
1981-07,Canada,Fresh potatoes [11421],61,NA,[11421]
1981-07,Canada,Fresh vegetables (except potatoes and pulse crops) [11422],60.1,NA,[11422]
1981-07,Canada,Animals and animal products [M21],55.6,NA,[M21]
1981-07,Canada,Cattle and calves [11111],58.7,NA,[11111]
1981-07,Canada,Hogs [11112],106.9,NA,[11112]
1981-07,Canada,Poultry [11113],67.1,NA,[11113]
1981-07,Canada,Eggs in shell [11611],49.7,NA,[11611]
1981-07,Canada,Unprocessed milk [11612],34.9,NA,[11612]
1981-07,Canada,"Fish, crustaceans, shellfish and other fishery products [121]",43.1,NA,[121]
1981-07,Canada,"Fish, crustaceans, shellfish and other fishery products [12111]",43.1,NA,[12111]
1981-07,Canada,Non-metallic minerals [M31],37,NA,[M31]
1981-07,Canada,Stone [16211],32.1,NA,[16211]
1981-07,Canada,Logs and bolts [13111],36.8,NA,[13111]
1981-07,Canada,Pulpwood [13112],99.9,NA,[13112]
1981-07,Canada,Natural rubber [282M],56.6,NA,[282M]
