REF_DATE,GEO,North American Industry Classification System (NAICS),VALUE,STATUS,Classification Code for North American Industry Classification System (NAICS)
2008-03,Canada,General merchandise stores [452],84.2,NA,[452]
2008-03,Canada,Other general merchandise stores [4529],95.2,NA,[4529]
2008-03,Canada,All other general merchandise stores [45299],95.6,NA,[45299]
2008-03,Canada,Miscellaneous store retailers [453],90.8,NA,[453]
2008-03,Canada,"Office supplies, stationery and gift stores [4532]",91.5,NA,[4532]
2008-03,Canada,Office supplies and stationery stores [45321],92.1,NA,[45321]
2008-03,Canada,Other miscellaneous store retailers [4539],87.7,NA,[4539]
2008-03,Canada,Pet and pet supplies stores [45391],75.8,NA,[45391]
2008-03,Canada,All other miscellaneous store retailers [45399],90.3,NA,[45399]
2008-04,Canada,Retail trade [44-45],89.4,NA,[44-45]
2008-04,Canada,"Automotive parts, accessories and tire stores [4413]",89.4,NA,[4413]
2008-04,Canada,Automotive parts and accessories stores [44131],92.6,NA,[44131]
2008-04,Canada,Tire dealers [44132],87.2,NA,[44132]
2008-04,Canada,Furniture and home furnishings stores [442],96.5,NA,[442]
2008-04,Canada,Furniture stores [4421],98.1,NA,[4421]
2008-04,Canada,Furniture stores [44211],98.1,NA,[44211]
2008-04,Canada,Home furnishings stores [4422],94,NA,[4422]
2008-04,Canada,Floor covering stores [44221],88,NA,[44221]
2008-04,Canada,Other home furnishings stores [44229],98.9,NA,[44229]
2008-04,Canada,Electronics and appliance stores [443],122.6,NA,[443]
2008-04,Canada,Electronics and appliance stores [4431],122.6,NA,[4431]
2008-04,Canada,Electronics and appliance stores [44314],122.6,NA,[44314]
2008-04,Canada,Building material and garden equipment and supplies dealers [444],85.7,NA,[444]
2008-04,Canada,Building material and supplies dealers [4441],85,NA,[4441]
2008-04,Canada,Home centres [44411],81.1,NA,[44411]
2008-04,Canada,Paint and wallpaper stores [44412],94.6,NA,[44412]
2008-04,Canada,Other building material dealers [44419],105.5,NA,[44419]
2008-04,Canada,Lawn and garden equipment and supplies stores [4442],100.5,NA,[4442]
2008-04,Canada,Nursery stores and garden centres [44422],99.8,NA,[44422]
2008-04,Canada,Food and beverage stores [445],84.6,NA,[445]
2008-04,Canada,Grocery stores [4451],83.1,NA,[4451]
2008-04,Canada,Supermarkets and other grocery (except convenience) stores [44511],82.6,NA,[44511]
2008-04,Canada,Convenience stores [44512],88,NA,[44512]
2008-04,Canada,Specialty food stores [4452],81.6,NA,[4452]
2008-04,Canada,Other specialty food stores [44529],89.6,NA,[44529]
2008-04,Canada,"Beer, wine and liquor stores [4453]",94.1,NA,[4453]
2008-04,Canada,"Beer, wine and liquor stores [44531]",94.1,NA,[44531]
2008-04,Canada,Health and personal care stores [446],87.8,NA,[446]
2008-04,Canada,Health and personal care stores [4461],87.8,NA,[4461]
2008-04,Canada,Pharmacies and drug stores [44611],86.8,NA,[44611]
2008-04,Canada,"Cosmetics, beauty supplies and perfume stores [44612]",92.7,NA,[44612]
2008-04,Canada,Optical goods stores [44613],94.6,NA,[44613]
2008-04,Canada,Other health and personal care stores [44619],96.5,NA,[44619]
2008-04,Canada,Gasoline stations [447],91.8,NA,[447]
2008-04,Canada,Gasoline stations [4471],91.8,NA,[4471]
2008-04,Canada,Gasoline stations with convenience stores [44711],87.2,NA,[44711]
2008-04,Canada,Other gasoline stations [44719],93.7,NA,[44719]
2008-04,Canada,Clothing and clothing accessories stores [448],101.9,NA,[448]
2008-04,Canada,Clothing stores [4481],101,NA,[4481]
2008-04,Canada,Men's clothing stores [44811],101.4,NA,[44811]
2008-04,Canada,Women's clothing stores [44812],99.5,NA,[44812]
2008-04,Canada,Family clothing stores [44814],102.5,NA,[44814]
2008-04,Canada,Other clothing stores [44819],104.6,NA,[44819]
2008-04,Canada,Shoe stores [4482],117.4,NA,[4482]
2008-04,Canada,Shoe stores [44821],117.4,NA,[44821]
2008-04,Canada,"Jewellery, luggage and leather goods stores [4483]",96,NA,[4483]
2008-04,Canada,Jewellery stores [44831],94.4,NA,[44831]
2008-04,Canada,Luggage and leather goods stores [44832],109.6,NA,[44832]
2008-04,Canada,"Sporting goods, hobby, book and music stores [451]",101.4,NA,[451]
2008-04,Canada,"Sporting goods, hobby and musical instrument stores [4511]",103.1,NA,[4511]
2008-04,Canada,Sporting goods stores [45111],101.6,NA,[45111]
2008-04,Canada,"Hobby, toy and game stores [45112]",111.8,NA,[45112]
2008-04,Canada,"Sewing, needlework and piece goods stores [45113]",88.5,NA,[45113]
2008-04,Canada,Musical instrument and supplies stores [45114],96.2,NA,[45114]
2008-04,Canada,Book stores and news dealers [4513],93.7,NA,[4513]
2008-04,Canada,Book stores and news dealers [45131],93.7,NA,[45131]
2008-04,Canada,General merchandise stores [452],83.9,NA,[452]
2008-04,Canada,Other general merchandise stores [4529],95,NA,[4529]
2008-04,Canada,All other general merchandise stores [45299],95.3,NA,[45299]
2008-04,Canada,Miscellaneous store retailers [453],89,NA,[453]
2008-04,Canada,"Office supplies, stationery and gift stores [4532]",87,NA,[4532]
2008-04,Canada,Office supplies and stationery stores [45321],84.8,NA,[45321]
2008-04,Canada,Other miscellaneous store retailers [4539],88.5,NA,[4539]
2008-04,Canada,Pet and pet supplies stores [45391],76.7,NA,[45391]
2008-04,Canada,All other miscellaneous store retailers [45399],91.2,NA,[45399]
2008-05,Canada,Retail trade [44-45],89.8,NA,[44-45]
2008-05,Canada,"Automotive parts, accessories and tire stores [4413]",91.2,NA,[4413]
2008-05,Canada,Automotive parts and accessories stores [44131],92.6,NA,[44131]
2008-05,Canada,Tire dealers [44132],90.1,NA,[44132]
2008-05,Canada,Furniture and home furnishings stores [442],96.3,NA,[442]
2008-05,Canada,Furniture stores [4421],97.8,NA,[4421]
2008-05,Canada,Furniture stores [44211],97.8,NA,[44211]
2008-05,Canada,Home furnishings stores [4422],93.9,NA,[4422]
2008-05,Canada,Floor covering stores [44221],88,NA,[44221]
2008-05,Canada,Other home furnishings stores [44229],98.8,NA,[44229]
2008-05,Canada,Electronics and appliance stores [443],121.9,NA,[443]
2008-05,Canada,Electronics and appliance stores [4431],121.9,NA,[4431]
2008-05,Canada,Electronics and appliance stores [44314],121.9,NA,[44314]
2008-05,Canada,Building material and garden equipment and supplies dealers [444],84.9,NA,[444]
2008-05,Canada,Building material and supplies dealers [4441],84.1,NA,[4441]
2008-05,Canada,Home centres [44411],80,NA,[44411]
2008-05,Canada,Paint and wallpaper stores [44412],94.6,NA,[44412]
2008-05,Canada,Other building material dealers [44419],105.3,NA,[44419]
2008-05,Canada,Lawn and garden equipment and supplies stores [4442],102.7,NA,[4442]
2008-05,Canada,Nursery stores and garden centres [44422],102.4,NA,[44422]
2008-05,Canada,Food and beverage stores [445],85.2,NA,[445]
2008-05,Canada,Grocery stores [4451],83.7,NA,[4451]
2008-05,Canada,Supermarkets and other grocery (except convenience) stores [44511],83.4,NA,[44511]
2008-05,Canada,Convenience stores [44512],87.3,NA,[44512]
2008-05,Canada,Specialty food stores [4452],81.8,NA,[4452]
2008-05,Canada,Other specialty food stores [44529],89.6,NA,[44529]
2008-05,Canada,"Beer, wine and liquor stores [4453]",94.6,NA,[4453]
2008-05,Canada,"Beer, wine and liquor stores [44531]",94.6,NA,[44531]
2008-05,Canada,Health and personal care stores [446],87.1,NA,[446]
2008-05,Canada,Health and personal care stores [4461],87.1,NA,[4461]
2008-05,Canada,Pharmacies and drug stores [44611],85.8,NA,[44611]
2008-05,Canada,"Cosmetics, beauty supplies and perfume stores [44612]",93,NA,[44612]
2008-05,Canada,Optical goods stores [44613],96.9,NA,[44613]
2008-05,Canada,Other health and personal care stores [44619],98,NA,[44619]
2008-05,Canada,Gasoline stations [447],92.7,NA,[447]
2008-05,Canada,Gasoline stations [4471],92.7,NA,[4471]
2008-05,Canada,Gasoline stations with convenience stores [44711],89.5,NA,[44711]
2008-05,Canada,Other gasoline stations [44719],94.1,NA,[44719]
2008-05,Canada,Clothing and clothing accessories stores [448],101.6,NA,[448]
2008-05,Canada,Clothing stores [4481],100.5,NA,[4481]
2008-05,Canada,Men's clothing stores [44811],101.4,NA,[44811]
2008-05,Canada,Women's clothing stores [44812],99.4,NA,[44812]
2008-05,Canada,Family clothing stores [44814],101.7,NA,[44814]
2008-05,Canada,Other clothing stores [44819],103.3,NA,[44819]
2008-05,Canada,Shoe stores [4482],117.2,NA,[4482]
2008-05,Canada,Shoe stores [44821],117.2,NA,[44821]
2008-05,Canada,"Jewellery, luggage and leather goods stores [4483]",96.3,NA,[4483]
2008-05,Canada,Jewellery stores [44831],94.8,NA,[44831]
2008-05,Canada,Luggage and leather goods stores [44832],109.8,NA,[44832]
2008-05,Canada,"Sporting goods, hobby, book and music stores [451]",100.3,NA,[451]
2008-05,Canada,"Sporting goods, hobby and musical instrument stores [4511]",102,NA,[4511]
2008-05,Canada,Sporting goods stores [45111],99.8,NA,[45111]
2008-05,Canada,"Hobby, toy and game stores [45112]",111.9,NA,[45112]
2008-05,Canada,"Sewing, needlework and piece goods stores [45113]",88.5,NA,[45113]
2008-05,Canada,Musical instrument and supplies stores [45114],96,NA,[45114]
2008-05,Canada,Book stores and news dealers [4513],92.9,NA,[4513]
2008-05,Canada,Book stores and news dealers [45131],92.9,NA,[45131]
2008-05,Canada,General merchandise stores [452],85,NA,[452]
2008-05,Canada,Other general merchandise stores [4529],97.1,NA,[4529]
2008-05,Canada,All other general merchandise stores [45299],97.4,NA,[45299]
2008-05,Canada,Miscellaneous store retailers [453],89.9,NA,[453]
2008-05,Canada,"Office supplies, stationery and gift stores [4532]",88.9,NA,[4532]
2008-05,Canada,Office supplies and stationery stores [45321],87.8,NA,[45321]
2008-05,Canada,Other miscellaneous store retailers [4539],88.5,NA,[4539]
2008-05,Canada,Pet and pet supplies stores [45391],76.7,NA,[45391]
2008-05,Canada,All other miscellaneous store retailers [45399],91.3,NA,[45399]
2008-06,Canada,Retail trade [44-45],90.8,NA,[44-45]
2008-06,Canada,"Automotive parts, accessories and tire stores [4413]",91.5,NA,[4413]
2008-06,Canada,Automotive parts and accessories stores [44131],92.7,NA,[44131]
2008-06,Canada,Tire dealers [44132],90.6,NA,[44132]
2008-06,Canada,Furniture and home furnishings stores [442],95.7,NA,[442]
2008-06,Canada,Furniture stores [4421],97,NA,[4421]
2008-06,Canada,Furniture stores [44211],97,NA,[44211]
2008-06,Canada,Home furnishings stores [4422],93.7,NA,[4422]
2008-06,Canada,Floor covering stores [44221],87,NA,[44221]
2008-06,Canada,Other home furnishings stores [44229],99.3,NA,[44229]
2008-06,Canada,Electronics and appliance stores [443],119.9,NA,[443]
2008-06,Canada,Electronics and appliance stores [4431],119.9,NA,[4431]
2008-06,Canada,Electronics and appliance stores [44314],119.9,NA,[44314]
2008-06,Canada,Building material and garden equipment and supplies dealers [444],84.8,NA,[444]
2008-06,Canada,Building material and supplies dealers [4441],84,NA,[4441]
2008-06,Canada,Home centres [44411],80.1,NA,[44411]
2008-06,Canada,Paint and wallpaper stores [44412],94.7,NA,[44412]
2008-06,Canada,Other building material dealers [44419],103.6,NA,[44419]
2008-06,Canada,Lawn and garden equipment and supplies stores [4442],103.3,NA,[4442]
2008-06,Canada,Nursery stores and garden centres [44422],102.7,NA,[44422]
2008-06,Canada,Food and beverage stores [445],85.3,NA,[445]
2008-06,Canada,Grocery stores [4451],84,NA,[4451]
2008-06,Canada,Supermarkets and other grocery (except convenience) stores [44511],83.7,NA,[44511]
2008-06,Canada,Convenience stores [44512],87.1,NA,[44512]
2008-06,Canada,Specialty food stores [4452],83.2,NA,[4452]
2008-06,Canada,Other specialty food stores [44529],90.4,NA,[44529]
2008-06,Canada,"Beer, wine and liquor stores [4453]",93.1,NA,[4453]
2008-06,Canada,"Beer, wine and liquor stores [44531]",93.1,NA,[44531]
2008-06,Canada,Health and personal care stores [446],89.7,NA,[446]
2008-06,Canada,Health and personal care stores [4461],89.7,NA,[4461]
2008-06,Canada,Pharmacies and drug stores [44611],88.6,NA,[44611]
2008-06,Canada,"Cosmetics, beauty supplies and perfume stores [44612]",93,NA,[44612]
2008-06,Canada,Optical goods stores [44613],101.4,NA,[44613]
2008-06,Canada,Other health and personal care stores [44619],96.2,NA,[44619]
2008-06,Canada,Gasoline stations [447],97.3,NA,[447]
2008-06,Canada,Gasoline stations [4471],97.3,NA,[4471]
2008-06,Canada,Gasoline stations with convenience stores [44711],88.5,NA,[44711]
2008-06,Canada,Other gasoline stations [44719],100.9,NA,[44719]
2008-06,Canada,Clothing and clothing accessories stores [448],100.3,NA,[448]
2008-06,Canada,Clothing stores [4481],99.8,NA,[4481]
2008-06,Canada,Men's clothing stores [44811],100.2,NA,[44811]
2008-06,Canada,Women's clothing stores [44812],98.8,NA,[44812]
2008-06,Canada,Family clothing stores [44814],101.2,NA,[44814]
2008-06,Canada,Other clothing stores [44819],102.9,NA,[44819]
2008-06,Canada,Shoe stores [4482],109.8,NA,[4482]
2008-06,Canada,Shoe stores [44821],109.8,NA,[44821]
2008-06,Canada,"Jewellery, luggage and leather goods stores [4483]",96.1,NA,[4483]
2008-06,Canada,Jewellery stores [44831],94.4,NA,[44831]
2008-06,Canada,Luggage and leather goods stores [44832],111.2,NA,[44832]
2008-06,Canada,"Sporting goods, hobby, book and music stores [451]",98.9,NA,[451]
2008-06,Canada,"Sporting goods, hobby and musical instrument stores [4511]",100.7,NA,[4511]
2008-06,Canada,Sporting goods stores [45111],98.6,NA,[45111]
2008-06,Canada,"Hobby, toy and game stores [45112]",109.6,NA,[45112]
2008-06,Canada,"Sewing, needlework and piece goods stores [45113]",88.5,NA,[45113]
2008-06,Canada,Musical instrument and supplies stores [45114],95.9,NA,[45114]
2008-06,Canada,Book stores and news dealers [4513],91,NA,[4513]
2008-06,Canada,Book stores and news dealers [45131],91,NA,[45131]
2008-06,Canada,General merchandise stores [452],87.1,NA,[452]
2008-06,Canada,Other general merchandise stores [4529],102.6,NA,[4529]
2008-06,Canada,All other general merchandise stores [45299],103,NA,[45299]
2008-06,Canada,Miscellaneous store retailers [453],90.4,NA,[453]
2008-06,Canada,"Office supplies, stationery and gift stores [4532]",90,NA,[4532]
2008-06,Canada,Office supplies and stationery stores [45321],89.6,NA,[45321]
2008-06,Canada,Other miscellaneous store retailers [4539],88.6,NA,[4539]
2008-06,Canada,Pet and pet supplies stores [45391],75.6,NA,[45391]
2008-06,Canada,All other miscellaneous store retailers [45399],91.9,NA,[45399]
