REF_DATE,GEO,Client groups,VALUE,STATUS
2001-06,Ontario,Leisure clients,100.4,NA
2001-06,Ontario,Business clients,89.4,NA
2001-06,Prairie Region,"Total, all client groups",74.8,NA
2001-06,Prairie Region,Leisure clients,73.3,NA
2001-06,Prairie Region,Business clients,67.9,NA
2001-06,Manitoba,"Total, all client groups",71.3,NA
2001-06,Manitoba,Leisure clients,69.9,NA
2001-06,Manitoba,Business clients,72.1,NA
2001-06,Saskatchewan,"Total, all client groups",59.3,NA
2001-06,Saskatchewan,Leisure clients,60.7,NA
2001-06,Saskatchewan,Business clients,58.2,NA
2001-06,Alberta,"Total, all client groups",79.2,NA
2001-06,Alberta,Leisure clients,78.1,NA
2001-06,Alberta,Business clients,69.8,NA
2001-06,British Columbia Region,"Total, all client groups",94.1,NA
2001-06,British Columbia Region,Leisure clients,92.4,NA
2001-06,British Columbia Region,Business clients,93.3,NA
2001-06,British Columbia,"Total, all client groups",94.1,NA
2001-06,British Columbia,Leisure clients,92.4,NA
2001-06,British Columbia,Business clients,93.3,NA
2001-06,Territories,"Total, all client groups",81,NA
2001-06,Territories,Leisure clients,90.9,NA
2001-06,Territories,Business clients,75.8,NA
2001-06,Yukon,"Total, all client groups",88,NA
2001-06,Yukon,Leisure clients,95.1,NA
2001-06,Yukon,Business clients,81.1,NA
2001-06,Northwest Territories,"Total, all client groups",80.5,NA
2001-06,Northwest Territories,Leisure clients,89.8,NA
2001-06,Northwest Territories,Business clients,77.8,NA
2001-06,Nunavut,"Total, all client groups",66.5,NA
2001-06,Nunavut,Leisure clients,66,NA
2001-06,Nunavut,Business clients,66.7,NA
2001-07,Canada,"Total, all client groups",92.6,NA
2001-07,Canada,Leisure clients,94.6,NA
2001-07,Canada,Business clients,86.7,NA
2001-07,Atlantic Region,"Total, all client groups",88,NA
2001-07,Atlantic Region,Leisure clients,93,NA
2001-07,Atlantic Region,Business clients,83.9,NA
2001-07,Newfoundland and Labrador,"Total, all client groups",73.4,NA
2001-07,Newfoundland and Labrador,Leisure clients,80.1,NA
2001-07,Newfoundland and Labrador,Business clients,69.9,NA
2001-07,Prince Edward Island,"Total, all client groups",110.4,NA
2001-07,Prince Edward Island,Leisure clients,114.1,NA
2001-07,Prince Edward Island,Business clients,103,NA
2001-07,Nova Scotia,"Total, all client groups",100.1,NA
2001-07,Nova Scotia,Leisure clients,97.2,NA
2001-07,Nova Scotia,Business clients,101.5,NA
2001-07,New Brunswick,"Total, all client groups",82.4,NA
2001-07,New Brunswick,Leisure clients,89.6,NA
