REF_DATE,GEO,Price index,VALUE,STATUS
2002-01,Western Canada,Hogs,100.7,NA
2002-01,Western Canada,Commercial feed,75.2,NA
2002-01,Western Canada,Prepared feed,75.2,NA
2002-01,Western Canada,Grain feed,75.1,NA
2002-01,Manitoba,Farm input total,68.2,NA
2002-01,Manitoba,Buildings,72.8,NA
2002-01,Manitoba,Machinery and motor vehicles,64.2,NA
2002-01,Manitoba,Depreciation on machinery and motor vehicles,91.3,NA
2002-01,Manitoba,Depreciation on machinery,88.5,NA
2002-01,Manitoba,Depreciation on motor vehicles,108.9,NA
2002-01,Manitoba,Machinery fuel,37.3,NA
2002-01,Manitoba,Machine repairs,82.4,NA
2002-01,Manitoba,General business costs,71.9,NA
2002-01,Manitoba,Crop production,57,NA
2002-01,Manitoba,Commercial seed and plant,59.1,NA
2002-01,Manitoba,Fertilizer,44.5,NA
2002-01,Manitoba,Nitrogen fertilizers,42.5,NA
2002-01,Manitoba,Production insurance,37.8,NA
2002-01,Manitoba,Animal production,83.4,NA
2002-01,Manitoba,Livestock purchases,94.6,NA
2002-01,Manitoba,Cattle,89.9,NA
2002-01,Manitoba,Hogs,101.3,NA
2002-01,Manitoba,Commercial feed,81.4,NA
2002-01,Manitoba,Prepared feed,83.5,NA
2002-01,Manitoba,Grain feed,75.8,NA
2002-01,Saskatchewan,Farm input total,62.4,NA
2002-01,Saskatchewan,Buildings,69.1,NA
2002-01,Saskatchewan,Machinery and motor vehicles,64.3,NA
2002-01,Saskatchewan,Depreciation on machinery and motor vehicles,91.7,NA
2002-01,Saskatchewan,Depreciation on machinery,88.7,NA
2002-01,Saskatchewan,Depreciation on motor vehicles,109.6,NA
2002-01,Saskatchewan,Machinery fuel,37.1,NA
2002-01,Saskatchewan,Machine repairs,82.6,NA
2002-01,Saskatchewan,General business costs,65.1,NA
2002-01,Saskatchewan,Crop production,53.2,NA
2002-01,Saskatchewan,Commercial seed and plant,61.3,NA
2002-01,Saskatchewan,Fertilizer,46,NA
2002-01,Saskatchewan,Nitrogen fertilizers,43.9,NA
2002-01,Saskatchewan,Production insurance,25.1,NA
2002-01,Saskatchewan,Animal production,79,NA
2002-01,Saskatchewan,Livestock purchases,88.1,NA
2002-01,Saskatchewan,Cattle,87.9,NA
2002-01,Saskatchewan,Hogs,91.4,NA
2002-01,Saskatchewan,Commercial feed,81.8,NA
2002-01,Saskatchewan,Prepared feed,81.3,NA
2002-01,Saskatchewan,Grain feed,82.3,NA
2002-01,Alberta,Farm input total,69.3,NA
2002-01,Alberta,Buildings,68.4,NA
2002-01,Alberta,Machinery and motor vehicles,67.5,NA
2002-01,Alberta,Depreciation on machinery and motor vehicles,95.9,NA
2002-01,Alberta,Depreciation on machinery,89.8,NA
2002-01,Alberta,Depreciation on motor vehicles,113.5,NA
2002-01,Alberta,Machinery fuel,37.1,NA
2002-01,Alberta,Machine repairs,82.4,NA
2002-01,Alberta,General business costs,62.4,NA
2002-01,Alberta,Crop production,57.9,NA
2002-01,Alberta,Commercial seed and plant,65.9,NA
2002-01,Alberta,Fertilizer,47.2,NA
2002-01,Alberta,Nitrogen fertilizers,45.8,NA
2002-01,Alberta,Production insurance,41.8,NA
2002-01,Alberta,Animal production,79.5,NA
2002-01,Alberta,Livestock purchases,86.6,NA
2002-01,Alberta,Cattle,86.3,NA
2002-01,Alberta,Hogs,103.4,NA
2002-01,Alberta,Commercial feed,73.7,NA
2002-01,Alberta,Prepared feed,73.6,NA
2002-01,Alberta,Grain feed,74,NA
2002-01,British Columbia,Farm input total,73,NA
2002-01,British Columbia,Buildings,71.6,NA
2002-01,British Columbia,Machinery and motor vehicles,69.9,NA
2002-01,British Columbia,Depreciation on machinery and motor vehicles,102.5,NA
2002-01,British Columbia,Depreciation on machinery,90.5,NA
2002-01,British Columbia,Depreciation on motor vehicles,109.9,NA
2002-01,British Columbia,Machinery fuel,39.5,NA
2002-01,British Columbia,Machine repairs,81.9,NA
2002-01,British Columbia,General business costs,70.7,NA
2002-01,British Columbia,Crop production,75.1,NA
2002-01,British Columbia,Commercial seed and plant,88.4,NA
2002-01,British Columbia,Fertilizer,48.1,NA
2002-01,British Columbia,Nitrogen fertilizers,48.2,NA
2002-01,British Columbia,Production insurance,94.8,NA
2002-01,British Columbia,Animal production,74.8,NA
2002-01,British Columbia,Livestock purchases,85.7,NA
2002-01,British Columbia,Cattle,87,NA
2002-01,British Columbia,Hogs,101.2,NA
2002-01,British Columbia,Commercial feed,65.8,NA
2002-01,British Columbia,Prepared feed,66.3,NA
2002-01,British Columbia,Grain feed,60.4,NA
2002-04,Canada,Farm input total,68.6,NA
2002-04,Canada,Buildings,72.2,NA
2002-04,Canada,Machinery and motor vehicles,67.9,NA
2002-04,Canada,Depreciation on machinery and motor vehicles,93.3,NA
2002-04,Canada,Depreciation on machinery,89.1,NA
2002-04,Canada,Depreciation on motor vehicles,111.5,NA
2002-04,Canada,Machinery fuel,41.2,NA
2002-04,Canada,Machine repairs,82.3,NA
2002-04,Canada,General business costs,69.8,NA
2002-04,Canada,Crop production,59.7,NA
2002-04,Canada,Commercial seed and plant,67.8,NA
2002-04,Canada,Fertilizer,45.5,NA
2002-04,Canada,Nitrogen fertilizers,45.2,NA
2002-04,Canada,Other fertilizers,45.9,NA
2002-04,Canada,Pesticides,89.8,NA
2002-04,Canada,"Twine, wire and containers",83.7,NA
2002-04,Canada,Production insurance,34.1,NA
2002-04,Canada,Stabilization premiums,69.3,NA
2002-04,Canada,Animal production,75.4,NA
2002-04,Canada,Livestock purchases,84,NA
2002-04,Canada,Cattle,83.3,NA
2002-04,Canada,Hogs,87.2,NA
2002-04,Canada,Commercial feed,70.2,NA
2002-04,Canada,Prepared feed,71.7,NA
2002-04,Canada,Grain feed,65.5,NA
2002-04,Eastern Canada,Farm input total,70.1,NA
2002-04,Eastern Canada,Buildings,72.9,NA
2002-04,Eastern Canada,Machinery and motor vehicles,67.9,NA
2002-04,Eastern Canada,Depreciation on machinery and motor vehicles,91.6,NA
2002-04,Eastern Canada,Depreciation on machinery,89,NA
2002-04,Eastern Canada,Depreciation on motor vehicles,109.9,NA
