REF_DATE,GEO,North American Industry Classification System (NAICS),VALUE,STATUS,Classification Code for North American Industry Classification System (NAICS)
2008-04,Canada,Home furnishings merchant wholesalers [4143],106,NA,[4143]
2008-04,Canada,"China, glassware, crockery and pottery merchant wholesalers [41431]",113.9,NA,[41431]
2008-04,Canada,Floor covering merchant wholesalers [41432],92.8,NA,[41432]
2008-04,Canada,"Linen, drapery and other textile furnishings merchant wholesalers [41433]",96.8,NA,[41433]
2008-04,Canada,Other home furnishings merchant wholesalers [41439],117,NA,[41439]
2008-04,Canada,Personal goods merchant wholesalers [4144],90.9,NA,[4144]
2008-04,Canada,Jewellery and watch merchant wholesalers [41441],106.9,NA,[41441]
2008-04,Canada,"Book, periodical and newspaper merchant wholesalers [41442]",71.8,NA,[41442]
2008-04,Canada,Photographic equipment and supplies merchant wholesalers [41443],109,NA,[41443]
2008-04,Canada,Sound recording merchant wholesalers [41444],75.5,NA,[41444]
2008-04,Canada,Video recording merchant wholesalers [41445],98.4,NA,[41445]
2008-04,Canada,Toy and hobby goods merchant wholesalers [41446],82.2,NA,[41446]
2008-04,Canada,Amusement and sporting goods merchant wholesalers [41447],101.6,NA,[41447]
2008-04,Canada,"Pharmaceuticals, toiletries, cosmetics and sundries merchant wholesalers [4145]",98.9,NA,[4145]
2008-04,Canada,Pharmaceuticals and pharmacy supplies merchant wholesalers [41451],100.3,NA,[41451]
2008-04,Canada,"Toiletries, cosmetics and sundries merchant wholesalers [41452]",95.7,NA,[41452]
2008-04,Canada,Motor vehicle and motor vehicle parts and accessories merchant wholesalers [415],91,NA,[415]
2008-04,Canada,Motor vehicle merchant wholesalers [4151],98.9,NA,[4151]
2008-04,Canada,New and used automobile and light-duty truck merchant wholesalers [41511],96.7,NA,[41511]
2008-04,Canada,"Truck, truck tractor and bus merchant wholesalers [41512]",111.5,NA,[41512]
2008-04,Canada,Recreational and other motor vehicles merchant wholesalers [41519],93.7,NA,[41519]
2008-04,Canada,New motor vehicle parts and accessories merchant wholesalers [4152],82.8,NA,[4152]
2008-04,Canada,Tire merchant wholesalers [41521],81.3,NA,[41521]
2008-04,Canada,Other new motor vehicle parts and accessories merchant wholesalers [41529],83.1,NA,[41529]
2008-04,Canada,Used motor vehicle parts and accessories merchant wholesalers [4153],76.2,NA,[4153]
2008-04,Canada,Used motor vehicle parts and accessories merchant wholesalers [41531],76.2,NA,[41531]
2008-04,Canada,Building material and supplies merchant wholesalers [416],105.5,NA,[416]
2008-04,Canada,"Electrical, plumbing, heating and air-conditioning equipment and supplies merchant wholesalers [4161]",99.4,NA,[4161]
2008-04,Canada,Electrical wiring and construction supplies merchant wholesalers [41611],101.9,NA,[41611]
2008-04,Canada,"Plumbing, heating and air-conditioning equipment and supplies merchant wholesalers [41612]",96.8,NA,[41612]
2008-04,Canada,Metal service centres [4162],126.7,NA,[4162]
2008-04,Canada,Metal service centres [41621],126.7,NA,[41621]
2008-04,Canada,"Lumber, millwork, hardware and other building supplies merchant wholesalers [4163]",101.6,NA,[4163]
2008-04,Canada,General-line building supplies merchant wholesalers [41631],101.1,NA,[41631]
2008-04,Canada,"Lumber, plywood and millwork merchant wholesalers [41632]",83.7,NA,[41632]
2008-04,Canada,Hardware merchant wholesalers [41633],111.3,NA,[41633]
2008-04,Canada,"Paint, glass and wallpaper merchant wholesalers [41634]",85.6,NA,[41634]
2008-04,Canada,Other specialty-line building supplies merchant wholesalers [41639],117.2,NA,[41639]
2008-04,Canada,"Machinery, equipment and supplies merchant wholesalers [417]",97.8,NA,[417]
2008-04,Canada,"Farm, lawn and garden machinery and equipment merchant wholesalers [4171]",95.4,NA,[4171]
2008-04,Canada,"Farm, lawn and garden machinery and equipment merchant wholesalers [41711]",95.4,NA,[41711]
2008-04,Canada,"Construction, forestry, mining, and industrial machinery, equipment and supplies merchant wholesalers [4172]",99.6,NA,[4172]
2008-04,Canada,"Construction and forestry machinery, equipment and supplies merchant wholesalers [41721]",102.8,NA,[41721]
2008-04,Canada,"Mining and oil and gas well machinery, equipment and supplies merchant wholesalers [41722]",101.6,NA,[41722]
2008-04,Canada,"Industrial machinery, equipment and supplies merchant wholesalers [41723]",97.8,NA,[41723]
2008-04,Canada,Computer and communications equipment and supplies merchant wholesalers [4173],82.9,NA,[4173]
2008-04,Canada,"Computer, computer peripheral and pre-packaged software merchant wholesalers [41731]",99.1,NA,[41731]
2008-04,Canada,"Electronic components, navigational and communications equipment and supplies merchant wholesalers [41732]",62.8,NA,[41732]
2008-04,Canada,"Other machinery, equipment and supplies merchant wholesalers [4179]",108.3,NA,[4179]
2008-04,Canada,Office and store machinery and equipment merchant wholesalers [41791],98.8,NA,[41791]
2008-04,Canada,"Service establishment machinery, equipment and supplies merchant wholesalers [41792]",95.2,NA,[41792]
2008-04,Canada,"Professional machinery, equipment and supplies merchant wholesalers [41793]",124,NA,[41793]
2008-04,Canada,"All other machinery, equipment and supplies merchant wholesalers [41799]",89.6,NA,[41799]
2008-04,Canada,Miscellaneous merchant wholesalers [418],90.1,NA,[418]
2008-04,Canada,Recyclable material merchant wholesalers [4181],94,NA,[4181]
2008-04,Canada,Recyclable metal merchant wholesalers [41811],88.3,NA,[41811]
2008-04,Canada,Recyclable paper and paperboard merchant wholesalers [41812],130.4,NA,[41812]
2008-04,Canada,Other recyclable material merchant wholesalers [41819],81.3,NA,[41819]
2008-04,Canada,"Paper, paper product and disposable plastic product merchant wholesalers [4182]",89.5,NA,[4182]
2008-04,Canada,Stationery and office supplies merchant wholesalers [41821],81,NA,[41821]
2008-04,Canada,Other paper and disposable plastic product merchant wholesalers [41822],104.2,NA,[41822]
2008-04,Canada,Agricultural supplies merchant wholesalers [4183],118.6,NA,[4183]
2008-04,Canada,Agricultural feed merchant wholesalers [41831],82.9,NA,[41831]
2008-04,Canada,Seed merchant wholesalers [41832],105.9,NA,[41832]
2008-04,Canada,Agricultural chemical and other farm supplies merchant wholesalers [41839],130.2,NA,[41839]
2008-04,Canada,Chemical (except agricultural) and allied product merchant wholesalers [4184],56.9,NA,[4184]
2008-04,Canada,Chemical (except agricultural) and allied product merchant wholesalers [41841],56.9,NA,[41841]
2008-04,Canada,Other miscellaneous merchant wholesalers [4189],97.8,NA,[4189]
2008-04,Canada,Log and wood chip merchant wholesalers [41891],98.1,NA,[41891]
2008-04,Canada,"Mineral, ore and precious metal merchant wholesalers [41892]",118.5,NA,[41892]
2008-04,Canada,Second-hand goods (except machinery and automotive) merchant wholesalers [41893],143.4,NA,[41893]
2008-04,Canada,All other merchant wholesalers [41899],95,NA,[41899]
2008-07,Canada,Wholesale trade [41],101.2,NA,[41]
2008-07,Canada,Farm product merchant wholesalers [411],105.1,NA,[411]
2008-07,Canada,Farm product merchant wholesalers [4111],105.1,NA,[4111]
2008-07,Canada,Live animal merchant wholesalers [41111],73.5,NA,[41111]
2008-07,Canada,Oilseed and grain merchant wholesalers [41112],110.2,NA,[41112]
2008-07,Canada,Nursery stock and plant merchant wholesalers [41113],93.3,NA,[41113]
2008-07,Canada,Other farm product merchant wholesalers [41119],153.4,NA,[41119]
2008-07,Canada,Petroleum and petroleum products merchant wholesalers [412],158.1,NA,[412]
2008-07,Canada,Petroleum and petroleum products merchant wholesalers [4121],158.1,NA,[4121]
2008-07,Canada,Petroleum and petroleum products merchant wholesalers [41211],158.1,NA,[41211]
2008-07,Canada,"Food, beverage and tobacco merchant wholesalers [413]",85.9,NA,[413]
2008-07,Canada,Food merchant wholesalers [4131],84.6,NA,[4131]
2008-07,Canada,General-line food merchant wholesalers [41311],78,NA,[41311]
2008-07,Canada,Dairy and milk products merchant wholesalers [41312],97.9,NA,[41312]
2008-07,Canada,Poultry and egg merchant wholesalers [41313],88.5,NA,[41313]
2008-07,Canada,Fish and seafood product merchant wholesalers [41314],86.8,NA,[41314]
2008-07,Canada,Fresh fruit and vegetable merchant wholesalers [41315],134.8,NA,[41315]
2008-07,Canada,Red meat and meat product merchant wholesalers [41316],91.8,NA,[41316]
2008-07,Canada,Other specialty-line food merchant wholesalers [41319],76.2,NA,[41319]
2008-07,Canada,Beverage merchant wholesalers [4132],94.2,NA,[4132]
2008-07,Canada,Non-alcoholic beverage merchant wholesalers [41321],80,NA,[41321]
2008-07,Canada,Alcoholic beverage merchant wholesalers [41322],99.7,NA,[41322]
2008-07,Canada,Cigarette and tobacco product merchant wholesalers [4133],90.7,NA,[4133]
2008-07,Canada,Cigarette and tobacco product merchant wholesalers [41331],90.7,NA,[41331]
2008-07,Canada,Personal and household goods merchant wholesalers [414],101.1,NA,[414]
2008-07,Canada,"Textile, clothing and footwear merchant wholesalers [4141]",104.9,NA,[4141]
2008-07,Canada,Clothing and clothing accessories merchant wholesalers [41411],107.9,NA,[41411]
2008-07,Canada,Footwear merchant wholesalers [41412],110.4,NA,[41412]
2008-07,Canada,"Piece goods, notions and other dry goods merchant wholesalers [41413]",81.1,NA,[41413]
2008-07,Canada,Home entertainment equipment and household appliance merchant wholesalers [4142],112.3,NA,[4142]
2008-07,Canada,Home entertainment equipment merchant wholesalers [41421],133.3,NA,[41421]
2008-07,Canada,Household appliance merchant wholesalers [41422],97.5,NA,[41422]
2008-07,Canada,Home furnishings merchant wholesalers [4143],102.7,NA,[4143]
2008-07,Canada,"China, glassware, crockery and pottery merchant wholesalers [41431]",105.5,NA,[41431]
2008-07,Canada,Floor covering merchant wholesalers [41432],96,NA,[41432]
2008-07,Canada,"Linen, drapery and other textile furnishings merchant wholesalers [41433]",92.8,NA,[41433]
2008-07,Canada,Other home furnishings merchant wholesalers [41439],110.4,NA,[41439]
2008-07,Canada,Personal goods merchant wholesalers [4144],93.5,NA,[4144]
2008-07,Canada,Jewellery and watch merchant wholesalers [41441],111.5,NA,[41441]
2008-07,Canada,"Book, periodical and newspaper merchant wholesalers [41442]",73.7,NA,[41442]
2008-07,Canada,Photographic equipment and supplies merchant wholesalers [41443],109.1,NA,[41443]
2008-07,Canada,Sound recording merchant wholesalers [41444],60.2,NA,[41444]
2008-07,Canada,Video recording merchant wholesalers [41445],90.5,NA,[41445]
2008-07,Canada,Toy and hobby goods merchant wholesalers [41446],84.3,NA,[41446]
2008-07,Canada,Amusement and sporting goods merchant wholesalers [41447],109.3,NA,[41447]
2008-07,Canada,"Pharmaceuticals, toiletries, cosmetics and sundries merchant wholesalers [4145]",100.6,NA,[4145]
2008-07,Canada,Pharmaceuticals and pharmacy supplies merchant wholesalers [41451],101.3,NA,[41451]
2008-07,Canada,"Toiletries, cosmetics and sundries merchant wholesalers [41452]",99,NA,[41452]
2008-07,Canada,Motor vehicle and motor vehicle parts and accessories merchant wholesalers [415],93,NA,[415]
2008-07,Canada,Motor vehicle merchant wholesalers [4151],98.7,NA,[4151]
2008-07,Canada,New and used automobile and light-duty truck merchant wholesalers [41511],96.6,NA,[41511]
2008-07,Canada,"Truck, truck tractor and bus merchant wholesalers [41512]",106.9,NA,[41512]
2008-07,Canada,Recreational and other motor vehicles merchant wholesalers [41519],103.4,NA,[41519]
2008-07,Canada,New motor vehicle parts and accessories merchant wholesalers [4152],87.4,NA,[4152]
2008-07,Canada,Tire merchant wholesalers [41521],91.6,NA,[41521]
2008-07,Canada,Other new motor vehicle parts and accessories merchant wholesalers [41529],86.6,NA,[41529]
