REF_DATE,GEO,North American Industry Classification System (NAICS),VALUE,STATUS,Classification Code for North American Industry Classification System (NAICS)
2010-07,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",89.9,NA,[48423]
2010-10,Canada,Truck transportation [484],92.3,NA,[484]
2010-10,Canada,General freight trucking [4841],91.2,NA,[4841]
2010-10,Canada,"General freight trucking, local [48411]",88.4,NA,[48411]
2010-10,Canada,"General freight trucking, long distance [48412]",92,NA,[48412]
2010-10,Canada,Specialized freight trucking [4842],93.9,NA,[4842]
2010-10,Canada,Used household and office goods moving [48421],98.2,NA,[48421]
2010-10,Canada,"Specialized freight (except used goods) trucking, local [48422]",98.1,NA,[48422]
2010-10,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",90.6,NA,[48423]
2011-01,Canada,Truck transportation [484],95,NA,[484]
2011-01,Canada,General freight trucking [4841],94.6,NA,[4841]
2011-01,Canada,"General freight trucking, local [48411]",93.2,NA,[48411]
2011-01,Canada,"General freight trucking, long distance [48412]",95.1,NA,[48412]
2011-01,Canada,Specialized freight trucking [4842],95.5,NA,[4842]
2011-01,Canada,Used household and office goods moving [48421],96.3,NA,[48421]
2011-01,Canada,"Specialized freight (except used goods) trucking, local [48422]",98.7,NA,[48422]
2011-01,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",93.5,NA,[48423]
2011-04,Canada,Truck transportation [484],96.7,NA,[484]
2011-04,Canada,General freight trucking [4841],96.2,NA,[4841]
2011-04,Canada,"General freight trucking, local [48411]",94.4,NA,[48411]
2011-04,Canada,"General freight trucking, long distance [48412]",96.7,NA,[48412]
2011-04,Canada,Specialized freight trucking [4842],97.5,NA,[4842]
2011-04,Canada,Used household and office goods moving [48421],100.2,NA,[48421]
2011-04,Canada,"Specialized freight (except used goods) trucking, local [48422]",98.9,NA,[48422]
2011-04,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",96.3,NA,[48423]
2011-07,Canada,Truck transportation [484],97,NA,[484]
2011-07,Canada,General freight trucking [4841],96.4,NA,[4841]
2011-07,Canada,"General freight trucking, local [48411]",95,NA,[48411]
2011-07,Canada,"General freight trucking, long distance [48412]",96.8,NA,[48412]
2011-07,Canada,Specialized freight trucking [4842],97.8,NA,[4842]
2011-07,Canada,Used household and office goods moving [48421],101.7,NA,[48421]
2011-07,Canada,"Specialized freight (except used goods) trucking, local [48422]",99,NA,[48422]
2011-07,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",96.5,NA,[48423]
2011-10,Canada,Truck transportation [484],97.6,NA,[484]
2011-10,Canada,General freight trucking [4841],97.4,NA,[4841]
2011-10,Canada,"General freight trucking, local [48411]",95.5,NA,[48411]
2011-10,Canada,"General freight trucking, long distance [48412]",98,NA,[48412]
2011-10,Canada,Specialized freight trucking [4842],98,NA,[4842]
2011-10,Canada,Used household and office goods moving [48421],98.3,NA,[48421]
2011-10,Canada,"Specialized freight (except used goods) trucking, local [48422]",99,NA,[48422]
2011-10,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",97.3,NA,[48423]
2012-01,Canada,Truck transportation [484],98.7,NA,[484]
2012-01,Canada,General freight trucking [4841],98.6,NA,[4841]
2012-01,Canada,"General freight trucking, local [48411]",96.9,NA,[48411]
2012-01,Canada,"General freight trucking, long distance [48412]",99.2,NA,[48412]
2012-01,Canada,Specialized freight trucking [4842],98.9,NA,[4842]
2012-01,Canada,Used household and office goods moving [48421],98.1,NA,[48421]
2012-01,Canada,"Specialized freight (except used goods) trucking, local [48422]",99.8,NA,[48422]
2012-01,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",98.4,NA,[48423]
2012-04,Canada,Truck transportation [484],98.9,NA,[484]
2012-04,Canada,General freight trucking [4841],98.6,NA,[4841]
2012-04,Canada,"General freight trucking, local [48411]",96.4,NA,[48411]
2012-04,Canada,"General freight trucking, long distance [48412]",99.3,NA,[48412]
2012-04,Canada,Specialized freight trucking [4842],99.4,NA,[4842]
2012-04,Canada,Used household and office goods moving [48421],99.4,NA,[48421]
