REF_DATE,GEO,North American Industry Classification System (NAICS),VALUE,STATUS,Classification Code for North American Industry Classification System (NAICS)
2011-09,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.4,NA,[53241]
2011-09,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.3,NA,NA
2011-10,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.2,NA,[5324]
2011-10,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.6,NA,[53241]
2011-10,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.1,NA,NA
2011-11,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.1,NA,[5324]
2011-11,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.6,NA,[53241]
2011-11,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92,NA,NA
2011-12,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],94.9,NA,[5324]
2011-12,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.2,NA,[53241]
2011-12,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.9,NA,NA
2012-01,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.2,NA,[5324]
2012-01,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",97,NA,[53241]
2012-01,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.4,NA,NA
2012-02,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.3,NA,[5324]
2012-02,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",97,NA,[53241]
2012-02,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.4,NA,NA
2012-03,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.2,NA,[5324]
2012-03,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.9,NA,[53241]
2012-03,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.5,NA,NA
2012-04,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.3,NA,[5324]
2012-04,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.9,NA,[53241]
2012-04,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.7,NA,NA
2012-05,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.3,NA,[5324]
2012-05,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.9,NA,[53241]
2012-05,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.8,NA,NA
2012-06,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.2,NA,[5324]
2012-06,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.9,NA,[53241]
2012-06,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.4,NA,NA
2012-07,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.8,NA,[5324]
2012-07,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",97.5,NA,[53241]
2012-07,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.2,NA,NA
2012-08,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.4,NA,[5324]
2012-08,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.9,NA,[53241]
2012-08,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.3,NA,NA
2012-09,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.4,NA,[5324]
2012-09,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.9,NA,[53241]
2012-09,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.1,NA,NA
2012-10,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],94.9,NA,[5324]
2012-10,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.3,NA,[53241]
2012-10,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92,NA,NA
2012-11,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],94.6,NA,[5324]
2012-11,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96,NA,[53241]
2012-11,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.7,NA,NA
2012-12,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],94.7,NA,[5324]
2012-12,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.1,NA,[53241]
2012-12,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.8,NA,NA
2013-01,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],94.2,NA,[5324]
2013-01,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",95.3,NA,[53241]
2013-01,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.7,NA,NA
2013-02,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],94.9,NA,[5324]
2013-02,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.1,NA,[53241]
2013-02,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.3,NA,NA
2013-03,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.1,NA,[5324]
2013-03,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.2,NA,[53241]
2013-03,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.6,NA,NA
2013-04,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.3,NA,[5324]
2013-04,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",97.1,NA,[53241]
2013-04,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.3,NA,NA
2013-05,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.6,NA,[5324]
2013-05,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",97.5,NA,[53241]
2013-05,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.2,NA,NA
2013-06,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.8,NA,[5324]
2013-06,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",98.1,NA,[53241]
2013-06,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,90.9,NA,NA
2013-07,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],96.1,NA,[5324]
2013-07,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",98.1,NA,[53241]
2013-07,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.6,NA,NA
2013-08,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],96.2,NA,[5324]
2013-08,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",98.1,NA,[53241]
2013-08,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92,NA,NA
2013-09,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],96.1,NA,[5324]
2013-09,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",98.4,NA,[53241]
2013-09,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.1,NA,NA
2013-10,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],96.3,NA,[5324]
2013-10,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",98.5,NA,[53241]
2013-10,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.7,NA,NA
2013-11,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.7,NA,[5324]
2013-11,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",97.5,NA,[53241]
2013-11,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.7,NA,NA
2013-12,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],96.1,NA,[5324]
2013-12,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",98.1,NA,[53241]
2013-12,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.7,NA,NA
2014-01,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],96.7,NA,[5324]
2014-01,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",98.9,NA,[53241]
2014-01,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.1,NA,NA
2014-02,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],96.6,NA,[5324]
2014-02,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",99.2,NA,[53241]
2014-02,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,90.5,NA,NA
2014-03,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],96.4,NA,[5324]
2014-03,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",99,NA,[53241]
2014-03,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,90.4,NA,NA
2014-04,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],97,NA,[5324]
2014-04,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",99.6,NA,[53241]
2014-04,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91,NA,NA
2014-05,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],97.4,NA,[5324]
2014-05,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",100.2,NA,[53241]
2014-05,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91,NA,NA
2014-06,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],97.2,NA,[5324]
2014-06,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",99.6,NA,[53241]
2014-06,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.1,NA,NA
2014-07,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],97.3,NA,[5324]
2014-07,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",99.9,NA,[53241]
2014-07,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.3,NA,NA
2014-08,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],97.3,NA,[5324]
2014-08,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",99.9,NA,[53241]
2014-08,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.2,NA,NA
2014-09,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],97.2,NA,[5324]
2014-09,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",99.9,NA,[53241]
2014-09,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,90.9,NA,NA
