REF_DATE,GEO,Type of peripheral,VALUE,STATUS
2012-04,Canada,Computer monitors [3611123],107.6,NA
2012-04,Canada,"Computer monitors, businesses and governments [36111231]",108,NA
2012-04,Canada,Computer printers [3611124],106.2,NA
2012-04,Canada,Inkjet printers [36111241],105.3,NA
2012-04,Canada,"Inkjet printers, businesses and governments [361112411]",105.4,NA
2012-04,Canada,Laser printers [36111242],106.1,NA
2012-04,Canada,"Laser printers, businesses and governments [361112421]",105.9,NA
2012-05,Canada,Computer monitors and computer printers [E12],104.6,NA
2012-05,Canada,Computer monitors [3611123],106.4,NA
2012-05,Canada,"Computer monitors, businesses and governments [36111231]",106.8,NA
2012-05,Canada,Computer printers [3611124],103.8,NA
2012-05,Canada,Inkjet printers [36111241],102.3,NA
2012-05,Canada,"Inkjet printers, businesses and governments [361112411]",102.4,NA
2012-05,Canada,Laser printers [36111242],104.3,NA
2012-05,Canada,"Laser printers, businesses and governments [361112421]",104.2,NA
2012-06,Canada,Computer monitors and computer printers [E12],103.7,NA
2012-06,Canada,Computer monitors [3611123],105.8,NA
2012-06,Canada,"Computer monitors, businesses and governments [36111231]",106.1,NA
2012-06,Canada,Computer printers [3611124],102.9,NA
2012-06,Canada,Inkjet printers [36111241],103.5,NA
2012-06,Canada,"Inkjet printers, businesses and governments [361112411]",103.6,NA
2012-06,Canada,Laser printers [36111242],101.5,NA
2012-06,Canada,"Laser printers, businesses and governments [361112421]",101.4,NA
2012-07,Canada,Computer monitors and computer printers [E12],104.6,NA
2012-07,Canada,Computer monitors [3611123],105.8,NA
2012-07,Canada,"Computer monitors, businesses and governments [36111231]",106.2,NA
2012-07,Canada,Computer printers [3611124],104,NA
2012-07,Canada,Inkjet printers [36111241],108.8,NA
2012-07,Canada,"Inkjet printers, businesses and governments [361112411]",108.9,NA
2012-07,Canada,Laser printers [36111242],99.1,NA
2012-07,Canada,"Laser printers, businesses and governments [361112421]",99,NA
2012-08,Canada,Computer monitors and computer printers [E12],100.1,NA
2012-08,Canada,Computer monitors [3611123],107.1,NA
2012-08,Canada,"Computer monitors, businesses and governments [36111231]",107.5,NA
2012-08,Canada,Computer printers [3611124],97.2,NA
2012-08,Canada,Inkjet printers [36111241],98.4,NA
2012-08,Canada,"Inkjet printers, businesses and governments [361112411]",98.5,NA
2012-08,Canada,Laser printers [36111242],95.3,NA
2012-08,Canada,"Laser printers, businesses and governments [361112421]",95.2,NA
2012-09,Canada,Computer monitors and computer printers [E12],99.8,NA
